Date,Open,High,Low,Close,AdjClose,Volume
2017-01-16,9457.200195,9465.200195,9407.799805,9410.000000,9410.000000,197583800
2017-01-17,9390.400391,9429.000000,9361.900391,9394.900391,9394.900391,255119800
2017-01-18,9425.099609,9430.799805,9362.200195,9386.200195,9386.200195,211880300
2017-01-19,9406.400391,9431.299805,9327.400391,9379.099609,9379.099609,259102800
2017-01-20,9377.500000,9439.000000,9345.200195,9380.099609,9380.099609,238865500
2017-01-23,9337.799805,9362.400391,9279.000000,9304.799805,9304.799805,197619300
2017-01-24,9319.200195,9387.200195,9296.599609,9387.200195,9387.200195,201309700
2017-01-25,9483.500000,9588.799805,9479.400391,9549.299805,9549.299805,404755500
2017-01-26,9601.599609,9623.500000,9495.500000,9512.799805,9512.799805,285947300
2017-01-27,9531.400391,9533.500000,9420.200195,9504.099609,9504.099609,234868100
2017-01-30,9460.599609,9472.799805,9349.099609,9361.299805,9361.299805,220036700
2017-01-31,9365.900391,9430.299805,9315.200195,9315.200195,9315.200195,282766800
2017-02-01,9416.000000,9423.299805,9304.500000,9330.799805,9330.799805,304379900
2017-02-02,9321.200195,9426.400391,9301.500000,9406.400391,9406.400391,293592400
2017-02-03,9435.299805,9482.599609,9396.799805,9462.700195,9462.700195,393825900
2017-02-06,9459.400391,9482.000000,9337.400391,9357.299805,9357.299805,287143900
2017-02-07,9321.900391,9389.200195,9304.500000,9331.500000,9331.500000,284076000
2017-02-08,9362.000000,9378.400391,9236.599609,9329.700195,9329.700195,312727400
2017-02-09,9353.900391,9444.900391,9318.099609,9438.400391,9438.400391,274080900
2017-02-10,9478.200195,9498.299805,9356.000000,9378.099609,9378.099609,231384700
2017-02-13,9421.900391,9501.299805,9387.700195,9484.099609,9484.099609,178862800
2017-02-14,9489.099609,9528.599609,9461.000000,9510.200195,9510.200195,206909700
2017-02-15,9557.099609,9612.799805,9528.200195,9584.099609,9584.099609,235349200
2017-02-16,9582.500000,9614.599609,9526.000000,9554.700195,9554.700195,213987000
2017-02-17,9564.799805,9571.000000,9438.200195,9500.299805,9500.299805,234061700
2017-02-20,9564.400391,9577.700195,9512.000000,9526.599609,9526.599609,178864500
2017-02-21,9523.599609,9591.299805,9467.599609,9561.000000,9561.000000,209805000
2017-02-22,9577.700195,9606.099609,9439.700195,9477.200195,9477.200195,280841300
2017-02-23,9519.799805,9541.799805,9479.700195,9493.400391,9493.400391,276005300
2017-02-24,9513.700195,9530.400391,9383.099609,9453.500000,9453.500000,285872900
2017-02-27,9494.000000,9499.299805,9427.700195,9464.299805,9464.299805,194245300
